iteration,coda_fused_ms,no_coda_separate_ms
1,2.480512,2.547328
2,2.455552,2.5256
3,2.454944,2.50448
4,2.45616,2.498752
5,2.455296,2.497664
6,2.454816,2.501312
7,2.455872,2.498752
8,2.472608,2.500224
9,2.482176,2.49856
10,2.481856,2.498656
11,2.4816,2.498208
12,2.481024,2.498848
13,2.481216,2.498208
14,2.481088,2.499264
15,2.481696,2.49856
16,2.482656,2.49824
17,2.482048,2.49872
18,2.482304,2.50064
19,2.480128,2.50464
20,2.482176,2.525376
21,2.483584,2.526624
22,2.482368,2.525088
23,2.482464,2.525888
24,2.482048,2.52496
25,2.482144,2.5248
26,2.482496,2.527424
27,2.480128,2.52544
28,2.482176,2.525344
29,2.483424,2.526496
30,2.482688,2.52592
31,2.483936,2.52928
32,2.480704,2.525184
33,2.480128,2.52672
34,2.480128,2.52528
35,2.481152,2.523552
36,2.481152,2.526912
37,2.481632,2.525504
38,2.480672,2.525184
39,2.480128,2.527232
40,2.48032,2.525184
41,2.481088,2.528768
42,2.47904,2.525376
43,2.480064,2.525504
44,2.481824,2.527232
45,2.480256,2.527168
46,2.479968,2.525248
47,2.483744,2.526208
48,2.482016,2.525952
49,2.466656,2.52544
50,2.451712,2.525184
51,2.451296,2.525184
52,2.45152,2.525184
53,2.448704,2.525184
54,2.449408,2.528416
55,2.45152,2.525536
56,2.452096,2.526816
57,2.450976,2.526112
58,2.449888,2.527232
59,2.451456,2.525184
60,2.450688,2.50608
61,2.450176,2.497184
62,2.451456,2.49616
63,2.451456,2.494816
64,2.451392,2.496512
65,2.451456,2.49568
66,2.452736,2.497344
67,2.45024,2.52928
68,2.451456,2.555776
69,2.45152,2.553984
70,2.449344,2.553856
71,2.453504,2.553856
72,2.47808,2.551712
73,2.5088,2.551904
74,2.510656,2.553472
75,2.50816,2.552192
76,2.50944,2.553856
77,2.508992,2.551808
78,2.50992,2.555456
79,2.509728,2.552512
80,2.50784,2.555648
81,2.507712,2.553856
82,2.5088,2.553248
83,2.509856,2.552416
84,2.507744,2.553472
85,2.51024,2.555648
86,2.508512,2.554112
87,2.507648,2.55424
88,2.509856,2.555904
89,2.505696,2.553856
90,2.482176,2.553408
91,2.4816,2.552256
92,2.480704,2.555072
93,2.481152,2.554016
94,2.481152,2.55248
95,2.482176,2.553856
96,2.485344,2.555904
97,2.481056,2.555904
98,2.480128,2.555904
99,2.483232,2.555904
100,2.48064,2.555296
